,patient
584,8
585,4
586,8
587,1
588,4
589,9
590,4
591,6
592,2
593,7
594,9
595,10
596,7
597,10
598,8
599,7
600,10
601,9
602,5
603,7
604,5
605,6
606,4
607,2
608,4
609,2
610,2
611,2
612,4
613,10
614,10
615,9
616,9
617,6
618,6
619,9
620,6
621,6
622,4
623,5
624,10
625,2
626,3
627,6
628,7
629,4
630,5
631,5
632,3
633,5
634,9
635,3
636,8
637,7
638,7
639,6
640,9
641,9
642,4
643,3
644,8
645,6
646,7
647,2
648,7
649,5
650,6
651,7
652,7
653,9
654,4
655,7
656,2
657,7
658,9
659,10
660,6
661,4
662,1
663,5
664,2
665,6
666,8
667,3
668,2
669,2
670,5
671,7
672,10
673,5
674,7
675,9
676,4
677,8
678,4
679,2
680,3
681,9
682,9
683,6
684,10
685,7
686,4
687,2
688,8
689,2
690,4
691,5
692,4
693,5
694,5
695,1
696,4
697,6
698,7
699,2
700,2
701,2
702,4
703,6
704,9
705,5
706,6
707,2
708,6
709,9
710,8
711,8
712,7
713,9
714,9
715,10
716,7
717,10
718,6
719,10
720,10
721,9
722,2
723,7
724,6
725,2
726,2
727,6
728,10
729,10
730,4
731,10
732,7
733,4
734,3
735,9
736,9
737,5
738,6
739,6
740,8
741,7
742,10
743,5
744,7
745,7
746,9
747,4
748,6
749,4
750,4
751,10
752,6
753,9
754,7
755,2
756,2
757,3
758,8
759,7
760,2
761,8
762,9
763,6
764,2
765,1
766,2
767,2
768,4
769,4
770,1
771,1
772,5
773,2
774,10
775,9
776,2
777,7
778,4
779,7
780,7
781,5
782,9
783,4
784,4
785,5
786,6
787,7
788,4
789,2
790,6
791,10
792,9
793,9
794,1
795,4
796,2
797,9
798,10
799,6
800,9
801,1
802,9
803,2
804,2
805,6
806,4
807,7
808,1
809,2
810,9
811,6
812,6
813,6
814,7
815,3
816,9
817,6
818,10
819,4
820,6
821,2
822,9
823,6
824,1
825,2
826,1
827,2
828,6
829,7
830,2
831,2
832,2
833,10
834,5
835,2
836,3
837,4
838,4
839,9
840,1
841,6
842,6
843,2
844,7
845,5
846,6
847,7
848,5
849,10
850,8
851,2
852,7
853,2
854,9
855,4
856,4
857,9
858,9
859,6
860,4
861,2
862,6
863,1
864,9
865,9
866,4
867,5
868,1
869,4
870,6
871,7
872,9
873,7
874,9
875,2
876,9
877,4
878,6
879,5
880,2
881,10
882,7
883,7
884,5
885,1
886,9
887,6
888,4
889,2
890,10
891,6
892,10
893,8
894,9
895,6
896,9
897,5
898,7
899,4
900,4
901,2
902,10
903,7
904,4
905,2
906,2
907,6
908,4
909,2
910,2
911,10
912,6
913,2
914,1
915,1
916,7
917,9
918,4
919,8
920,2
921,10
922,2
923,10
924,9
925,4
926,10
927,4
928,4
929,2
930,9
931,6
932,6
933,1
934,10
935,9
936,9
937,10
938,9
939,9
940,7
941,4
942,10
943,2
944,2
945,6
946,7
947,4
948,2
949,9
950,7
951,6
952,10
953,9
954,6
955,4
956,7
957,9
958,10
959,6
960,6
961,6
962,7
963,1
964,3
965,9
966,6
967,8
968,9
969,8
970,8
971,6
972,9
973,6
974,4
975,9
976,5
977,2
978,9
979,4
980,8
981,2
982,6
983,2
984,10
985,2
986,2
987,4
988,1
989,4
990,9
991,6
992,6
993,4
994,9
995,9
996,6
997,6
998,4
999,9
