,tissue
882,2
883,0
884,2
885,0
886,3
887,0
888,0
889,1
890,1
891,1
892,1
893,3
894,3
895,3
896,1
897,1
898,3
899,0
900,0
901,0
902,1
903,1
904,3
905,3
906,0
907,1
908,3
909,2
910,0
911,3
912,0
913,3
914,1
915,0
916,2
917,3
918,2
919,2
920,3
921,1
922,0
923,1
924,1
925,2
926,2
927,2
928,3
929,1
930,0
931,1
932,0
933,0
934,1
935,0
936,3
937,0
938,0
939,0
940,3
941,2
942,1
943,0
944,2
945,2
946,0
947,1
948,0
949,1
950,2
951,0
952,3
953,0
954,0
955,2
956,1
957,0
958,3
959,0
960,0
961,1
962,2
963,1
964,2
965,3
966,3
967,3
968,2
969,0
970,1
971,1
972,1
973,2
974,3
975,0
976,1
977,0
978,0
979,0
980,0
981,2
982,1
983,3
984,1
985,0
986,3
987,0
988,2
989,1
990,3
991,0
992,2
993,0
994,1
995,3
996,3
997,1
998,2
999,2
